Entity,Department,Employees_With_OT,Median_OT,P25_OT,P75_OT,Lowest_OT,Highest_OT,Employees_100K_OT,Pct_100K_OT
JUVENILE JUSTICE COMMISSION,NEW JERSEY TRAINING SCHOOL/CIVILIAN,202,37576.36,18312.96,69415.6,83.64,192869.09,25,12.38
CORRECTIONS,ADULT DIAGNOSTIC AND TREATMENT CENTER,380,37484.42,14018.16,66275.82,13.12,163464.49,37,9.74
HUMAN SERVICES,OFFICE OF THE ASSISTANT COMMISIONER,75,29239.06,12272.84,46862.9,49.74,204665.6,4,5.33
CORRECTIONS,NORTHERN STATE PRISON,720,27442.12,10959.05,54880.46,15.29,249870.12,47,6.53
JUVENILE JUSTICE COMMISSION,JOHNSTONE CAMPUS/CIVILIAN,163,26446.38,7378.54,61480.68,50.06,157018.57,12,7.36
CORRECTIONS,EAST JERSEY STATE PRISON,390,26012.86,10497.88,53261.8,6.65,206993.36,21,5.38
CORRECTIONS,NEW JERSEY STATE PRISON,698,25261.94,11606.88,50255.49,28.64,170767.91,37,5.3
TRANSPORTATION,RESEARCH AND DATA TECHNOLOGY,16,24305.59,4148.18,32874.17,228.57,42178.76,0,0.0
CORRECTIONS,EDNA MAHAN CORRECTIONAL FACILITY FOR WOMEN,380,23635.04,9735.07,47188.46,9.66,201011.55,20,5.26
CORRECTIONS,BAYSIDE STATE PRISON,428,22489.62,9917.45,48359.39,29.13,271641.2,20,4.67
CORRECTIONS,SOUTH WOODS STATE PRISON,835,21745.4,9291.39,41934.74,8.12,207873.85,29,3.47
CORRECTIONS,MID-STATE CURRECTIONAL FACILITY,236,20892.29,9257.3,35508.66,224.0,121179.73,6,2.54
NEW JERSEY TURNPIKE AUTHORITY,OPERATIONS ADMINISTRATION,46,19997.82,6198.4,27325.13,132.56,48476.98,0,0.0
CORRECTIONS,GARDEN STATE YOUTH CORRECTIONAL FACILITY,637,19160.47,8311.02,41968.71,59.81,170305.86,20,3.14
HEALTH AND SENIOR SERVICES,ANN KLEIN FORENSIC CENTER,543,18415.52,5797.0,38781.12,15.22,166160.12,21,3.87
HEALTH AND SENIOR SERVICES,TRENTON PSYCHIATRIC HOSPITAL,768,18006.32,3794.52,42192.06,18.19,179235.69,22,2.86
NEW JERSEY TURNPIKE AUTHORITY,CARPENTER,14,18001.73,14105.69,20379.83,320.89,26846.99,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,FLEET-STATE POLICE,3,17908.9,8995.55,18932.62,82.2,19956.35,0,0.0
NEW JERSEY TRANSIT CORPORATION,Not Provided,10752,17728.42,6748.9,34040.57,1.15,222733.09,151,1.4
TREASURY,DIVISION OF THE STATE LOTTERY,35,17203.76,7207.3,29044.5,487.2,40612.53,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,TOLL REPAIR,4,16834.19,10235.97,20501.84,245.34,21700.75,0,0.0
TRANSPORTATION,REGIONAL OPERATIONS - NORTH,395,16579.94,8990.58,25004.14,3.29,96089.46,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TMD#8 (FDBA TPK 6),19,16386.98,8862.98,17184.26,3274.99,20247.73,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TMD#4 (FDBA CS/HIGHTSTOWN),17,16342.15,12293.44,19164.38,8707.41,28148.04,0,0.0
CORRECTIONS,OFFICE OF POLICY AND PLANNING,321,16193.39,5788.52,32043.1,38.12,126026.21,3,0.93
SOUTH JERSEY TRANSPORTATION AUTHORITY,CAMDEN COUNTY COLLEGE,1,15760.56,15760.56,15760.56,15760.56,15760.56,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TMD#9 (FDBA TPK 7),16,15737.97,13456.46,17499.15,2085.06,23108.93,0,0.0
HEALTH AND SENIOR SERVICES,GREYSTONE PARK PSYCHIATRIC HOSPITAL,916,15545.64,4724.76,32094.14,0.64,107656.03,2,0.22
NEW JERSEY TURNPIKE AUTHORITY,TMD#1 (FDBA TPK 1),17,15538.79,13203.72,17649.26,1703.43,23533.01,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TMD#10 (FDBA TPK 8),25,15510.31,13075.33,16603.11,7839.74,22911.52,0,0.0
HUMAN SERVICES,HUNTERDON DEVELOPMENTAL CENTER,681,14483.13,3811.71,37524.27,45.8,109968.86,4,0.59
NEW JERSEY TURNPIKE AUTHORITY,ROADWAY ADMINISTRATION,75,14190.28,11213.77,18631.16,2609.6,28386.22,0,0.0
JUVENILE JUSTICE COMMISSION,COMMUNITY PROGRAMS,216,14089.87,6168.12,26177.08,12.68,123332.98,1,0.46
NEW JERSEY TURNPIKE AUTHORITY,TECHNOLOGY DEVI TECH-TPK SOUTH,12,14013.04,8277.91,18865.0,1733.14,25158.46,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TMD#3 (FDBA TPK 3),23,13345.75,10377.48,14351.3,7768.96,27346.34,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TMD#5 (FDBA TPK 4),25,13249.6,9153.03,15945.4,444.9,30214.86,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,PMD#1 (FDBA GSP 7),24,13133.97,7946.81,16192.3,1407.2,18138.2,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,PMD#2 (FDBA GSP 6),28,12914.24,9706.35,14677.68,348.68,17062.13,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,ELECTRIC,18,12804.6,7833.67,14813.49,253.13,23840.83,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TMD#2 (FDBA TPK 2),16,12605.82,9812.21,15779.52,6224.96,20329.23,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,COMMUNICATIONS,12,12437.44,9820.17,17909.4,6407.94,36860.01,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,PMD#3 (FDBA GSP 5),36,12348.11,8550.24,15562.32,3616.07,18688.6,0,0.0
LAW AND PUBLIC SAFETY,DIVISION OF CONSUMER AFFAIRS,135,12314.58,3949.04,27554.23,50.85,57303.42,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,ROADWAY MAINTENANCE,70,12279.72,5419.41,18238.24,35.16,30037.11,0,0.0
TRANSPORTATION,REGIONAL OPERATIONS - CENTRAL,444,12256.0,6985.8,18604.03,119.43,112424.07,1,0.23
NEW JERSEY TURNPIKE AUTHORITY,TMD#6 (FDBA TPK 5),26,12187.6,6817.74,16958.45,2162.28,23279.88,0,0.0
LABOR,UNEMPLOYMENT INSURANCE AND DISABILITY,448,12109.02,4639.13,22471.79,43.93,49148.91,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,PMD#4 (FDBA GSP 4H),30,11651.7,9385.33,13357.79,3284.84,16713.02,0,0.0
TRANSPORTATION,EMPLOYEE SUPPORT,8,11564.36,6906.01,14442.83,4584.6,159459.07,1,12.5
NEW JERSEY TURNPIKE AUTHORITY,INTERNAL AUDIT-SECURITY,14,11563.62,2988.71,16150.9,289.1,36360.06,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,CAMDEN SHUTTLE,2,11313.4,11117.45,11509.34,10921.5,11705.29,0,0.0
MILITARY AND VETERANS AFFAIRS,VA - MENLO PARK,319,11248.54,3134.55,23308.46,9.38,127642.75,4,1.25
TRANSPORTATION,CAPITAL PLANNING,2,11245.78,10587.13,11904.42,9928.48,12563.07,0,0.0
LABOR,VOCATIONAL REHABILITATION COMMISSION,2,11195.14,6732.22,15658.05,2269.31,20120.96,0,0.0
TRANSPORTATION,SUPPORT SERVICES,96,11126.07,4266.47,18191.23,51.15,40073.4,0,0.0
OFFICE OF INFORMATION TECHNOLOGY,OFFICE OF EMERGENCY TELECOMMUNICATIONS SYSTEMS (OETS),1,11081.87,11081.87,11081.87,11081.87,11081.87,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,BUILDING MAINTENANCE,102,10787.76,6295.51,16773.41,88.37,36187.75,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,STATE POLICE,20,10697.69,7389.21,15200.2,951.93,25441.35,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,SAFETY,2,10472.57,10207.14,10738.0,9941.71,11003.43,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,FIREFIGHTERS,19,10174.6,6397.18,13047.8,400.65,19386.75,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,OPERATIONS DISPATCHER,38,10068.95,4567.0,18748.04,1347.42,31639.72,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TMD#7(FDBA NORTHERN DIV),110,10035.24,6110.46,13654.62,466.31,28579.77,0,0.0
LABOR,UNEMPLOYMENT INCOME SECURITY,125,9982.29,4118.93,23451.4,23.49,64007.12,0,0.0
MOTOR VEHICLE COMMISSION,INFORMATION TECHNOLOGY,20,9647.27,4180.57,13812.04,363.56,51705.44,0,0.0
JUVENILE JUSTICE COMMISSION,EXECUTIVE AND ADMINISTRATION,49,9636.31,3022.24,18392.89,12.52,101930.33,1,2.04
CORRECTIONS,CENTRAL OFFICE,111,9579.49,2469.13,17586.84,35.3,47518.72,0,0.0
TRANSPORTATION,REGIONAL OPERATIONS - SOUTH,315,9545.37,5092.65,15258.44,14.09,65409.11,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,AUTOMOTIVE,51,9514.97,6433.08,12544.23,135.61,19309.19,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TMD#2 (FDBA SOUTHERN DIV),88,9426.4,6562.8,12851.99,683.47,48900.5,0,0.0
STATE,DIVISION OF ELECTIONS,4,9108.9,4886.98,13555.45,2258.88,16857.39,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,FINANCE BILLING,1,8868.41,8868.41,8868.41,8868.41,8868.41,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,PMD#8 (FDBA GSP 1),28,8710.13,6307.63,11182.64,994.35,15131.65,0,0.0
